ingredient 1,ingredient 2,ingredient 3,ingredient 4,ingredient 5,ingredient 6,ingredient 7,ingredient 8,ingredient 9,ingredient 10,ingredient 11,ingredient 12,ingredient 13,ingredient 14,ingredient 15,ingredient 16,ingredient 17,ingredient 18,ingredient 19,ingredient 20,ingredient 21,ingredient 22,ingredient 23,ingredient 24,ingredient 25,ingredient 26,ingredient 27,ingredient 28,ingredient 29,ingredient 30,ingredient 31,ingredient 32,ingredient 33,ingredient 34,ingredient 35,ingredient 36,ingredient 37,ingredient 38,ingredient 39,ingredient 40,ingredient 41,ingredient 42,ingredient 43,ingredient 44,ingredient 45,ingredient 46,ingredient 47,ingredient 48,ingredient 49,ingredient 50,ingredient 51,ingredient 52,ingredient 53,ingredient 54,ingredient 55,ingredient 56,descripcion
agua,laureth sulfato de sodio,Cocamidopropyl betaine,Phenoxyethanol,parfum,lauramine oxide,sodium chloride,pentylene glycol,glycerin,polyquaternium-6,sodium hydroxide,tetrasodium EDTA,polyquaternium-22,PEG-4 dilaurate,triticum vulgare (wheat) bran extract,PEG-200,iodopropynyl butylcarbamate,"1,2-hexanediol",caprylyl glycol,citric acid,astrocaryum murumuru seed butter,bertholletia excelsa seed oil,triethanolamine,sr-spider polypeptide-1,tocopherol,linalool,butylphenyl methylpropional,citronellol,limonene,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shampoo Natura lumina
sodium coco-sulfate,Cetearyl Alcohol,Glycerin,CAPRYLIC/CAPRIC TRIGLYCERIDE,glyceryl stearate,theobroma cacao seed butter,Citric Acid,limonene,oryza sativa bran oil,limnanthes alba seed oil,Parfum,citrus aurantium peel oil expressed,cinnamomum zeylanicum leaf oil,olus oil,lecithin,aqua,sodium cetearyl sulfate,sodium benzoate,potassium sorbate,CI 77499,CI 77491,Eugenol,Benzyl Benzoate,Linalool,Cinnamal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dr. Tree Chmpú Sólido 2 en 1 Fortaleza
AQUA,SODIUM LAURETH SULFATE,Cocamidopropyl betaine,SODIUM CHLORIDE,GLYCOLDISTEARATE,PARFUM,CARBOMER,COCAMIDE MEA,DISODIUM EDTA,GLYCERIN,HYDROXYPROPYL METHYLCELLULOSE,GUAR HYDROXYPROPYL TRIMONIUM CHLORIDE,MICA,DMDM HYDANTOIN,PEG-45M,TITANIUM DIOXIDE,ETHYLHEXYL METHOXYCINNAMATE,DIMETHICONOL,,PRUNUS AMYGDALUS DULCIS OIL,METHYLCHLOROISOTHIAZOLINONE,METHYLISOTHIAZOLINONE,CI 15985,CI 19140,BENZYL SALICYLATE,CITRONELLOL,GERANIOL,HEXYL CINNAMAL,LINALOOL,CITRIC ACID,SODIUM HYDROXIDE,,,,,,,,,,,,,,,,,,,,,,,,,,Sedal Shampoo crema balance
Aqua,SODIUM LAURETH SULFATE,TEA,Lauryl sulfate,Cocamidopropyl Betaine,Cocamide DEA,Cuassia Amara Wood Extract,Glycol Distearate,Amyl Cinnamal,Methylparaben,EDTA,Propylparaben,Citric Acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shampoo Capilatis Con Palo amargo Lí­nea Piojos
Aqua,SODIUM LAURETH SULFATE,Cocamidopropyl betaine,Cocamide DEA,Polyquaternium 7,Sodium Chloride,PARFUM,Propylene Glycol,Diazolidinyl urea,Glycol diestearate,Citric Acid,capsicum annuum extract,methylparaben,Laureth-4,Glycerin,Caramel,Urtica dioica extract,Licania arborea extract,Arctium lappa extract,simmondsia chinensis extract,Chamomilla recutita extract,Panax ginseng extract,Propylparaben,tetrasodium edta,Ocimum basilicum extract,PEG-45M,Agave americana extract,royal jelly extract,chamomilla recutita flower powder,CI 19140,Hexyl Cinnamal,Limonene,,,,,,,,,,,,,,,,,,,,,,,,,Shampoo Tí­o Nacho Herbolaria Milenaria Fortalecimiento capilar
Aqua,lauryl glucoside,Coco-Glucoside,Decyl Glucoside,Glyceryl Oleate,Glycerin,Simmondsia chinensis oil,Matricaria Chammomilla extract,Xanthan Gum,Sodium benzoate,Potassium sorbate,Sodium lauroyl lactylate,Caprylyl/Capryl wheat bran/Straw glycosides,Fusel wheat bran/Straw Glycosides,Polyglyceryl - 5 oleate,Sodium cocoyl glutamate,Glyceryl caprylate,Parfum,Limonene,Linalool,PCA - Glyceryl oleate,L - Arginine,Dycaprylyl Ether,Lauryl Alcohol,Citric acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shampoo Weleda Fitoshampoo iluminador Manzanilla
AQUA,GLYCERIN,STEARYL ALCOHOL,BIS-AMINOPROPYL DIMETHICONE,BEHENTRIMONIUM METHOSULFATE,CETYL ALCOHOL,PARFUM,DICETYLDIMONIUM CHLORIDE,BENZYL ALCOHOL,DISODIUM EDTA,HISTIDINE,PANTHENOL,PANTHENYL ETHYL ETHER,CITRIC ACID,HEXYL CINNAMAL,HYDROXYCITRONELLAL,METHYLCHLOROISOTHIAZOLINONE,METHYLISOTHIAZOLINONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACONDICIONADOR PANTENE 3MIN FUERZA RECONSTRUCCION
Aqua,Coco-Glucoside,Cocamidopropyl Betaine,Sodium Coco-Sulfate,PEG-150 Distearate,Phenoxyethanol,Glycol Distearate,Sodium Benzoate,Parfum,Glyceryl Oleate,Citric Acid,Propylene Glycol,Hydroxypropyl Guar Hydroxypropyltrimonium Chloride,Tocopheryl Acetate,Tetrasodium Glutamate Diacetate,Polyquaternium-7,Sodium Chloride,Ethylhexylglycerin,Triticum Vulgare Bran Extract,Caprylyl Glycol,"1,2-Hexanediol",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Johnsons Baby Shampoo Fuerza Y Vitamina
AQUA,SODIUM LAURYL SULFATE,SODIUM LAURETH SULFATE,COCAMIDOPROPYL BETAINE,GLYCOL DISTEARATE,DIMETHICONE,SODIUM CITRATE,COCAMIDE MEA,PARFUM,SODIUM XYLENESULFONATE,CITRIC ACID,POLYQUATERNIUM-6,SODIUM BENZOATE,SODIUM CHLORIDE,TETRASODIUM EDTA,TRISODIUM ETHYLENEDIAMINE DISUCCINATE,HEXYL CINNAMAL,PANTHENOL,PANTHENYL ETHYL ETHER,HYDROXYCITRONELLAL,METHYLCHLOROISOTHIAZOLINONE,METHYLISOTHIAZOLINONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PANTENE MAXPROV SHAMPOO CONTROL CAIDA
Aqua,Cetearyl Alcohol,Cyclopentasiloxane,Stearamidopropyl Dimethylamine,Dimethiconol,Behentrimonium Chloride,Parfum,Disodium EDTA,DMDM Hydantoin,Hydrolyzed Keratin,C10-40 Isoalkylamidopropylethyldimonium Ethosulfate,Dipropylene Glycol,Paraffinum Liquidum,Methylchloroisothiazolinone,Methylisothiazolinone,Benzyl Alcohol,Benzyl Salicylate,Citronellol,Geraniol,Hexyl Cinnamal,Linalool,Lactic Acid,Sodium Chloride,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acondicionador Tresemmé Blindaje Platinum
